Location,Slug,Street Address,City,State,Zip Code,Assigned Store,Order Count,First Order Date,Last Order Date,Days Since Last Order,Median Reorder Gap (days),Avg Food Total,Total Food Spend,Primary Source,Segment
Hunter engineering - c/o Jim T,hunter-engineering---c-o-jim-t,"11250 Hunter Dr Building ""A""",Bridgeton,MO,63044.0,West Oak,4,2025-12-17,2026-06-30,27,60.0,272.85,1091.4,Marketplace Takeout,active
Mercy,mercy,3915 Watson Rd Suite 100B,St. Louis,MO,63109.0,Sunset Hills,4,2026-03-23,2026-07-20,7,47.0,294.85,1179.4,Marketplace Takeout,active
WashU,washu,7425 Forsyth Blvd,Clayton,MO,63105.0,Forsyth/Clayton,4,2025-11-11,2026-07-13,14,73.0,263.45,1053.79,Marketplace Takeout,active
Weissman Photo Studio,weissman-photo-studio,6726 Manchester Ave,St. Louis,MO,63139.0,South City,4,2026-02-26,2026-07-15,12,34.0,507.86,2031.45,Marketplace Takeout,active
Benefit Finance Partners,benefit-finance-partners,6 Cityplace Dr 6 Cityplace Drive 400,Creve Coeur,MO,63141.0,Creve Coeur,3,2025-11-03,2026-07-20,7,128.0,419.87,1259.6,Marketplace Takeout,active
Ernst and Young,ernst-and-young,7676 Forsyth Blvd Suite 2600,Clayton,MO,63105.0,Forsyth/Clayton,3,2026-06-18,2026-07-15,12,13.0,212.92,638.76,Marketplace Takeout,active
St Elizabeths cath lab and ep lab in hospital,st-elizabeths-cath-lab-and-ep-lab-in-hospital,1 St Elizabeth's Blvd Second floor,O'Fallon,IL,62269.0,Shiloh,3,2025-04-11,2026-07-16,11,230.0,596.33,1789.0,Marketplace Takeout,active
St. Louis Music,st-louis-music,1400 Ferguson Ave,St. Louis,MO,63133.0,Forsyth/Clayton,3,2026-07-14,2026-07-16,11,0.0,142.07,426.22,Marketplace Takeout,active
Clementine's Ice Cream,clementines-ice-cream,8014 N Broadway,St. Louis,MO,63147.0,Lindell/SLU,2,2026-05-04,2026-07-17,10,73.0,313.88,627.75,Marketplace Takeout,active
Dr. Michael Snyder,dr-michael-snyder,12700 Southfork Rd 270,St. Louis,MO,63128.0,Tesson,2,2026-05-21,2026-07-09,18,48.0,251.52,503.05,Marketplace Takeout,active
Gatewood Wealth Solutions,gatewood-wealth-solutions,1401 S Brentwood Blvd Suite 400,St. Louis,MO,63144.0,Rock Hill/Glendale,2,2026-05-01,2026-07-20,7,80.0,283.7,567.4,Marketplace Takeout,active
Heartland Dental,heartland-dental,701 Emerson Rd 1st Floor- Straight back upon entry,Creve Coeur,MO,63141.0,West Oak,2,2026-04-01,2026-07-10,17,99.0,161.09,322.18,Marketplace Takeout,active
Mercy South Hospital - Hospitalist Office,mercy-south-hospital---hospitalist-office,10100 Kennerly Rd,Sappington,MO,63128.0,Tesson,2,2026-07-01,2026-07-08,19,7.0,380.55,761.1,Marketplace Takeout,active
Procter and Gamble Mfg,procter-and-gamble-mfg,169 E Grand Ave Collaboration Center,St. Louis,MO,63147.0,Lindell/SLU,2,2025-10-01,2026-07-14,13,286.0,162.38,324.75,Marketplace Takeout,active
SIEMENS,siemens,13690 Riverport Dr 100,Maryland Heights,MO,63043.0,Lindenwood,2,2025-07-17,2026-07-23,4,371.0,770.88,1541.75,Marketplace Takeout,active
St. Lukes Multispecialty,st-lukes-multispecialty,222 S Woods Mill Rd Suite 750 North building,Chesterfield,MO,63017.0,Creve Coeur,2,2025-12-16,2026-06-30,27,195.0,350.32,700.63,Marketplace Takeout,active
Talisen Technologies Inc,talisen-technologies-inc,12655 Olive Blvd 500,Creve Coeur,MO,63141.0,Creve Coeur,2,2025-08-20,2026-07-07,20,321.0,159.6,319.2,Marketplace Takeout,active
AAIM Employers' Association,aaim-employers-association,12851 Manchester Rd Suite 150,St. Louis,MO,63131.0,Manchester,1,2026-07-20,2026-07-20,7,,112.5,112.5,Marketplace Takeout,active
Ameren - North Metro Operating Center,ameren---north-metro-operating-center,4427 Geraldine Ave,St. Louis,MO,63115.0,Lindell/SLU,1,2026-07-22,2026-07-22,5,,302.9,302.9,Marketplace Takeout,active
Barnes Jewish Hospital POD 5,barnes-jewish-hospital-pod-5,4969 Barnes Jewish Hospital Plaza POD5,St. Louis,MO,63110.0,Lindell/SLU,1,2026-07-07,2026-07-07,20,,931.99,931.99,Marketplace Takeout,active
Confluence Academies,confluence-academies,319 N 4th St Suite 500,St. Louis,MO,63102.0,Lindell/SLU,1,2026-06-30,2026-06-30,27,,102.47,102.47,Marketplace Takeout,active
Creve Couer Soccer Complex,creve-couer-soccer-complex,2350 Creve Coeur Mill Rd,Maryland Heights,MO,63043.0,Creve Coeur,1,2026-06-29,2026-06-29,28,,596.0,596.0,Marketplace Takeout,active
Crossroads Veterinary Hospital,crossroads-veterinary-hospital,10253 Highway DD,Wentzville,MO,63385.0,O'Fallon,1,2026-07-21,2026-07-21,6,,142.75,142.75,Marketplace Takeout,active
Dr Melvin,dr-melvin,5551 Winghaven Blvd Dr Knox suite 142 142,O'Fallon,MO,63368.0,O'Fallon,1,2026-07-16,2026-07-16,11,,243.03,243.03,Marketplace Takeout,active
Ess health urology,ess-health-urology,12255 De Paul Dr 200,Bridgeton,MO,63044.0,Lindenwood,1,2026-07-22,2026-07-22,5,,164.95,164.95,Marketplace Takeout,active
Goodwill Outlet,goodwill-outlet,5665 St Louis Mls Blvd Door 9,Bridgeton,MO,63044.0,Lindenwood,1,2026-07-10,2026-07-10,17,,79.71,79.71,Marketplace Takeout,active
Guarantee Electrical Construction Compa,guarantee-electrical-construction-compa,3415 Bent Ave,St. Louis,MO,63116.0,South City,1,2026-07-09,2026-07-09,18,,140.5,140.5,Marketplace Takeout,active
HSHS Medical Group,hshs-medical-group,2401 S Center St,Maryville,IL,62062.0,Edwardsville,1,2026-07-17,2026-07-17,10,,237.75,237.75,Marketplace Takeout,active
Lafayette Preparatory Academy,lafayette-preparatory-academy,1900 Lafayette Ave,St. Louis,MO,63104.0,Lindell/SLU,1,2026-07-14,2026-07-14,13,,238.2,238.2,Marketplace Takeout,active
Lou Fusz Soccer Complex,lou-fusz-soccer-complex,2155 Creve Coeur Mill Rd,St. Louis,MO,63146.0,Creve Coeur,1,2026-06-29,2026-06-29,28,,1122.0,1122.0,Marketplace Takeout,active
MRHFM- St Louis,mrhfm--st-louis,1015 Locust St Ste 1200,St Louis,MO,63101.0,West Oak,1,2026-07-14,2026-07-14,13,,213.58,213.58,Meal Program,active
