Order Number,Location,Street Address,City,State,Zip Code,Store Number,Store Name,Caterer Name,Event Date,Submitted At,Food Total,Promotion,Delivery Fee,Commission,Sales Tax,Sales Tax Remitted by ezCater,Tip,Payment Transaction Fee,Adjustments,Discounts,Misc Fees,Preferred Partner Program,Rewards,Caterer Total Due,Status,Order Paid By Caterer Payment Method,Source,Promotion Code,Driver,House Account ID,House Account Tax ID,Campaign Name
7WT-PE8,Amdocs,625 Maryville Centre Dr 200,St. Louis,MO,63141,,Creve Coeur,CBW- Crazy Bowls and Wraps (Creve Coeur),01/02/2025 8:45 AM,11/27/2024 10:42 AM,$383.25 ,$0.00 ,$20.00 ,($60.49),$33.49 ,$0.00 ,$0.00 ,($13.06),$0.00 ,$0.00 ,-38.32,0,0,324.87,Completed,ach,Marketplace Takeout,,Dispatch,,,
KH3-U14,Contemporary Art Museum St. Louis,3750 Washington Blvd St. Louis,St. Louis,MO,63108,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),01/03/2025 4:25 PM,12/17/2024 2:56 PM,$241.90 ,$0.00 ,$20.00 ,($18.33),$0.00 ,$0.00 ,$0.00 ,($7.83),$0.00 ,$0.00 ,-30,0,-12.1,193.64,Completed,ach,Marketplace Takeout,,Dispatch,,,
GAM-47X,Drury Inn & Suites,8700 Eager Rd,Brentwood,MO,63144,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/04/2025 11:10 AM,12/09/2024 3:15 PM,$636.90 ,$0.00 ,$20.00 ,($98.54),$0.00 ,$0.00 ,$0.00 ,($19.64),$0.00 ,$0.00 ,-63.69,0,-31.85,443.18,Completed,ach,Marketplace Takeout,,Dispatch,,,
2YC-95M,Veterans United,111 Corporate Office Dr Suite 400,Earth City,MO,63045,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),01/08/2025 10:48 AM,12/30/2024 12:38 PM,$137.20 ,$0.00 ,$20.00 ,($23.58),$12.33 ,$0.00 ,$0.00 ,($5.07),$0.00 ,$0.00 ,-30,0,-6.86,104.02,Completed,ach,Marketplace Takeout,,Dispatch,,,
7WQ-RE9,Medical Specialists of St. Lukes,222 S Woods Mill Rd 750 North,Chesterfield,MO,63017,,Creve Coeur,CBW- Crazy Bowls and Wraps (Creve Coeur),01/08/2025 10:51 AM,01/07/2025 10:02 AM,$378.65 ,$0.00 ,$20.00 ,($59.80),$33.09 ,$0.00 ,$0.00 ,($12.91),$0.00 ,$0.00 ,-37.86,0,0,321.17,Completed,ach,Marketplace Takeout,,Dispatch,,,
ZHG-0V6,Advantage Solutions,8001 Forsyth Blvd Suite 1025,Clayton,MO,63105,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/09/2025 10:55 AM,12/20/2024 11:11 AM,$266.10 ,$0.00 ,$20.00 ,($42.92),$27.24 ,$0.00 ,$0.00 ,($9.37),$0.00 ,$0.00 ,-30,0,-13.31,217.74,Completed,ach,Marketplace Takeout,,Dispatch,,,
1Y7-ZKJ,Wash U Chemistry,1 Brookings Dr Wrighton Hall 401,St. Louis,MO,63130,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/09/2025 11:08 AM,01/07/2025 11:03 AM,$467.40 ,$0.00 ,$20.00 ,($34.12),$0.00 ,$0.00 ,$0.00 ,($14.57),$0.00 ,$0.00 ,-46.74,0,0,391.97,Completed,ach,ezOrdering Takeout,,Dispatch,,,
091-X44,Lemonaid Pharmacy,1701 Macklind Ave Suite 300,St. Louis,MO,63110,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),01/09/2025 11:15 AM,12/27/2024 5:32 PM,$200.75 ,$0.00 ,$25.00 ,($30.11),$18.04 ,$0.00 ,$20.08 ,($7.29),$0.00 ,$0.00 ,0,0,0,226.47,Completed,ach,Meal Program,,,,,
KFT-GCQ,Thompson Street Capital partners,7676 Forsyth Blvd 2700,Clayton,MO,63105,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/10/2025 11:08 AM,01/08/2025 10:47 AM,$195.00 ,$0.00 ,$20.00 ,($15.05),$19.96 ,$0.00 ,$0.00 ,($7.03),$0.00 ,$0.00 ,-30,0,0,182.88,Completed,ach,ezOrdering Takeout,,Dispatch,,,
78V-W7R,Cath lab,4500 Memorial Dr,Belleville,IL,62226,,Shiloh,CBW- Crazy Bowls and Wraps (Shiloh),01/13/2025 10:04 AM,01/10/2025 12:40 PM,$406.70 ,$0.00 ,$20.00 ,($64.01),$33.96 ,($33.96),$0.00 ,($13.77),$0.00 ,$0.00 ,-40.67,0,-20.34,287.91,Completed,ach,Marketplace Takeout,,Dispatch,,,
8Z4-9CJ,Distinctive Dermatology,390 Office Ct,Fairview Heights,IL,62208,,Shiloh,CBW- Crazy Bowls and Wraps (Shiloh),01/13/2025 10:34 AM,01/10/2025 3:27 PM,$469.95 ,$0.00 ,$20.00 ,($73.49),$39.24 ,($39.24),$0.00 ,($15.82),$0.00 ,$0.00 ,-47,0,-23.5,330.14,Completed,ach,Marketplace Takeout,,Dispatch,,,
G5P-EE7,Caleres,8300 Maryland Ave co Jennifer Grace,Clayton,MO,63105,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/13/2025 10:44 AM,01/10/2025 6:31 PM,$254.45 ,$0.00 ,$20.00 ,($41.17),$26.05 ,$0.00 ,$0.00 ,($8.98),$0.00 ,$0.00 ,-30,0,-12.72,207.63,Completed,ach,Marketplace Takeout,,Dispatch,,,
HP6-UV3,Deluxe Dermatology,1034 S Brentwood Blvd 1000,Richmond Heights,MO,63117,,Rock Hill/Glendale,CBW- Crazy Bowls and Wraps (Rock Hill/Glendale),01/13/2025 10:56 AM,01/12/2025 10:05 AM,$174.04 ,$0.00 ,$20.00 ,($29.11),$16.08 ,$0.00 ,$0.00 ,($6.28),$0.00 ,$0.00 ,-30,0,-8.7,136.03,Completed,ach,Marketplace Takeout,,Dispatch,,,
