ez_cater_store_name,address
Lindell/SLU,"3852 Lindell Blvd, St. Louis, MO 63108"
Forsyth/Clayton,"7353 Forsyth Blvd, St. Louis, MO 63130"
West Oak,"11427 Olive Blvd, Creve Coeur, MO 63141"
Shiloh,"4190 Green Mount Crossing, Shiloh, IL 62269"
Creve Coeur,"13435 Olive Blvd, Chesterfield, MO 63017"
Lindenwood,"1980 1st Capital Dr, St. Charles, MO 63301"
Tesson,"12604 Lamplighter Square, St. Louis, MO 63128"
Edwardsville,"6679 Edwardsville Crossing, Edwardsville, IL 62025"
South City,"2724 Watson Rd, St. Louis, MO 63139"
Manchester,"13831 Manchester Rd, Ballwin, MO 63011"
Rock Hill/Glendale,"9635 Manchester Rd, St. Louis, MO 63119"
O'Fallon,"2119 Highway K, O'Fallon, MO 63368"
Sunset Hills,"10758 Sunset Hills Plaza, St. Louis, MO 63127"
Wentzville,"1570 Wentzville Pkwy Ste 101, Wentzville, MO 63385"
Chesterfield Valley,"16890 Chesterfield Airport Rd, Chesterfield, MO 63005"
