URL,GA4 Sessions,Engagement Rate,Bounce Rate
/,166277,0.6576,0.3424
/menu,20660,0.6823,0.3177
/locations,19663,0.4647,0.5353
/nutrition-information,3490,0.3794,0.6205
/catering,1105,0.5936,0.4064
/catering,1105,0.5936,0.4064
/choose-your-location,1060,0.9208,0.0792
/fall-menu,595,0.7580,0.2420
/loyalty,257,0.5759,0.4241
/delivery,209,0.3110,0.6890
/bowls/mediterranean-bowl,179,0.3073,0.6927
/wraps/caesar-wrap,173,0.4046,0.5954
/wraps/buffalo-wrap,164,0.3659,0.6341
/bowl_categories/gluten-free,143,0.7832,0.2168
/bowls/pesto-bowl-7-50-8-50,136,0.4191,0.5809
/bowls/fajita-bowl-8-55-9-55,111,0.3423,0.6577
/bowls/teriyaki-bowl-7-35-8-55,108,0.3796,0.6204
/bowls/high-protein-bowl-grain-free-9-50,104,0.6058,0.3942
/allergen-menu,99,0.9394,0.0606
