apollo_account_id,location,slug,zip,store,segment
6a6a4027993d9c0018e367ab,Brown Cancer Center,brown-cancer-center,40245,Landis,champion
6a6a4028e25d1b0018a31260,Crossroads Church,crossroads-church,45209,Oakley,champion
6a6a4029d040e5001cf9f866,,,40223,Queen City Wild Eggs,champion
6a6a402a2e468a0010e44b02,Traders Point Christian Church,traders-point-christian-church,46220,Pulliam,champion
6a6a402b9798c5000c89d961,Racing Louisville FC,racing-louisville-fc,40206,Mercantile,champion
6a6a402c00f4d3001c0ee35c,Traders Point Christian Church - Carmel,traders-point-christian-church---carmel,46032,Carmel,champion
6a6a402dcfd0170018985f73,LC Rheumatology,lc-rheumatology,47150,New Albany,champion
6a6a402e9ced4f0020ceabb2,Victory Field,victory-field,46225,Pulliam,champion
6a6a402fca4416001087d959,Baptist Health Cancer Center,baptist-health-cancer-center,47150,New Albany,champion
6a6a403067e9a2000c4b841c,Salesforce,salesforce,46204,Pulliam,champion
6a6a40304874a900100a7abe,Planet Fitness Kueber Center,planet-fitness-kueber-center,40209,Mercantile,champion
6a6a40313522a2000ceb8561,Louisville Pulmonary Care,louisville-pulmonary-care,40207,Dupont,champion
6a6a40324e32800018dc01fe,UofL Field Hockey,uofl-field-hockey,40208,New Albany,champion
6a6a403382cec70018c732ef,Raymond James,raymond-james,40222,Westport,champion
6a6a40345214390020a811a8,Med Center Health Neurology,med-center-health-neurology,42101,Bowling Green,champion
6a6a403400ae0700103fe3a4,Graves Gilbert Dermatology,graves-gilbert-dermatology,42103,Bowling Green,champion
6a6a40353522a2000ceb8598,Benefits All In,benefits-all-in,45236,Oakley,champion
6a6a40365430b100109015e5,Marathon Health,marathon-health,46204,Pulliam,champion
6a6a40375658bd0020322899,Traders Point Christian Church - Production,traders-point-christian-church---production,46037,Fishers,champion
6a6a403830da350014734129,WireCrafters,wirecrafters,40214,Mercantile,champion
6a6a4039b0834c0020915159,Procter and Gamble,procter-and-gamble,45202,Queen City Wild Eggs,champion
6a6a403ad24bd3000c56ad2e,OMS Photo,oms-photo,45223,Queen City Wild Eggs,champion
6a6a403a5214390010448971,Fedex,fedex,42101,Bowling Green,champion
6a6a403b67e9a2000c4b8429,StriveTogether,strivetogether,45202,Queen City Wild Eggs,champion
6a6a403c82cec70018c733fc,Mt Auburn Nephrology,mt-auburn-nephrology,45236,Oakley,champion
6a6a403dcb572f0014eac7a6,University of Louisville/Clinical Translational Research Building (CTR),university-of-louisville-clinical-translational-research-building-(ctr),40202,Mercantile,champion
6a6a403e7b114b00186eda01,JWM Neurology,jwm-neurology,46260,Carmel,champion
6a6a403ffcb5980014b0ed0a,Newburgh Dermatology,newburgh-dermatology,47630,Evansville,champion
6a6a4040ee3309000c51457c,Stoll Keenon Ogden,stoll-keenon-ogden,47708,Evansville,champion
6a6a40401860eb00201cca7b,Christ Hospital Physicians,christ-hospital-physicians,45219,Queen City Wild Eggs,champion
6a6a4041e1a7f4001c7789c0,Norton Healthcare Sleep Center,norton-healthcare-sleep-center,40241,Westport,champion
6a6a404209afd20021ebb906,DMG - Divisions Maintenance Group,dmg---divisions-maintenance-group,45202,Queen City Wild Eggs,champion
6a6a404f60cde8002010a644,Louisville Gas & Electric,louisville-gas-and-electric,40218,Mercantile,winback
6a6a40509bbc71000ca1fab0,Baptist Neurology,baptist-neurology,40207,Dupont,winback
6a6a40518b79c8000c38766b,Clark Schaefer Hackett,clark-schaefer-hackett,45202,Queen City Wild Eggs,winback
6a6a405288536f0010dca164,Dean Dorton,dean-dorton,41011,Fishers,winback
6a6a405309afd20011f15bda,Graves Gilbert Clinic,graves-gilbert-clinic,42103,Bowling Green,winback
6a6a4054cfd017001898611a,Dawes Fretzin,dawes-fretzin,46250,Carmel,winback
6a6a4055fec12d000c8945dd,Baptist Cancer Center - Cancer & Blood Center,baptist-cancer-center---cancer-and-blood-center,40207,Dupont,winback
6a6a4056fec12d00207b5136,Brown Cancer Center Fellows,brown-cancer-center-fellows,40202,Westport,winback
6a6a40575658bd001c873fae,U of L Oncology,u-of-l-oncology,40202,Mercantile,winback
6a6a4058226ed3000c8bc978,St Francis Cancer Center,st-francis-cancer-center,46237,Pulliam,winback
6a6a4059f036c70010f43c09,Brown Cancer Center Terra Crossing,brown-cancer-center-terra-crossing,40245,Dupont,winback
6a6a4059b9a7b800104850f5,UL Brown Cancer Center,ul-brown-cancer-center,40245,Landis,winback
6a6a405aee2f07000ce9cec9,EY,ey,45202,Pulliam,winback
6a6a405ccfd017001ce7905f,UofL Brown Cancer Center,uofl-brown-cancer-center,40245,Landis,winback
6a6a405df0044c001443a1d2,Elevance Health,elevance-health,46204,Oakley,winback
6a6a405e82cec70018c73581,OnTarget CPA,ontarget-cpa,46204,Pulliam,winback
6a6a405f9f6f1500180ca5f5,Deaconess Dermatology,deaconess-dermatology,47713,Evansville,winback
6a6a406049e898001c5d349e,louisville slugger field - Toledo Mudhens,louisville-slugger-field---toledo-mudhens,40202,Mercantile,winback
6a6a4061baa0490014de3ab0,DHL,dhl,41042,Queen City Wild Eggs,winback
6a6a40622d1f2c0020962338,Deloitte,deloitte,46204,Pulliam,winback
6a6a4062d040e5001cf9fc9e,Merchants Bank,merchants-bank,46032,Carmel,winback
6a6a40641860eb0010788fa0,EGC Construction,egc-construction,41071,Oakley,winback
6a6a4065f036c70010f43d16,Kentuckiana Comfort Center (KCC),kentuckiana-comfort-center-(kcc),40299,Jtown,winback
6a6a40667df4d100189b06fd,Advanced ENT and Allergy,advanced-ent-and-allergy,47150,New Albany,winback
6a6a40675214390010448a71,Brown Cancer Center - Terra Crossing,brown-cancer-center---terra-crossing,40245,Landis,winback
6a6a4068cb572f001801512f,Hampton Inn & Suites South Greenwood - Vanderbilt University Volleyball,hampton-inn-and-suites-south-greenwood---vanderbilt-university-volleyball,46237,Greenwood,winback
6a6a406982cec70018c73668,Oncology Hematology Care,oncology-hematology-care,45242,Oakley,winback
6a6a406acb572f0014eacb92,"Portland Family Health Center-Dr Fineman, et al",portland-family-health-center-dr-fineman-et-al,40212,New Albany,winback
6a6a406bf599f80010b83a0c,Roehr Insurance,roehr-insurance,45209,Oakley,winback
6a6a406c9bbc710010a88657,Bennett & Bloom Eye Centers,bennett-and-bloom-eye-centers,40207,Dupont,winback
6a6a406d0842f70014f797e4,Univ of Louisville Cancer Center,univ-of-louisville-cancer-center,40245,Landis,winback
6a6a406e4f4cf50018e0c213,Brown Cancer Center- Terra Crossing,brown-cancer-center--terra-crossing,40245,Dupont,winback
6a6a406ebaa04900205db4e2,Southeast Christian Church Prospect Campus,southeast-christian-church-prospect-campus,40059,Westport,winback
6a6a406f5658bd0020322afd,Deaconess Cancer Services Medical Office Building 4,deaconess-cancer-services-medical-office-building-4,47630,Evansville,winback
6a6a4070a4b32f0018d57113,Synergistic Designs,synergistic-designs,45241,Oakley,winback
6a6a4071e25d1b0018a32535,Western Kentucky heart and lung,western-kentucky-heart-and-lung,42101,Bowling Green,winback
6a6a40720754870020fc7b7e,Louisville Urban League,louisville-urban-league,40203,Westport,winback
6a6a40737b114b00186edb89,Deaconess MOB 4 Cancer Services,deaconess-mob-4-cancer-services,47630,Evansville,winback
6a6a40732e468a00149c5d47,Kaiser Aluminum Warrick,kaiser-aluminum-warrick,47630,Evansville,winback
6a6a407467b2990014a51dc8,Jane and Jewell Center,jane-and-jewell-center,40203,Mercantile,winback
6a6a4075c98b510014a81acf,The Dermatology Center of Indiana,the-dermatology-center-of-indiana,46143,Greenwood,winback
6a6a4076d550860020aa6ef6,ASG Indianapolis,asg-indianapolis,46240,Carmel,winback
6a6a4077cb572f0020018110,Ten Different Looks,ten-different-looks,40216,Mercantile,winback
6a6a4078e25d1b0018a3259a,"CBRE, Inc. (Ormsby III)",cbre-inc-(ormsby-iii),40223,Westport,winback
6a6a407905eeaf000c21d9a1,Divisions Maintenance Group,divisions-maintenance-group,45202,Queen City Wild Eggs,winback
6a6a407afe51cb00182f42c4,RLS,rls,45203,Queen City Wild Eggs,winback
6a6a407b3a8119000cb57e30,Louisville Endoscopy Center,louisville-endoscopy-center,40217,Mercantile,winback
6a6a407c05eeaf000c21d9a7,Brown Cancer Center - GynOnc (Metzinger/Todd),brown-cancer-center---gynonc-(metzinger-todd),40202,Mercantile,winback
6a6a407d280f2b00145909c7,Deaconess Allergy Clinic,deaconess-allergy-clinic,47715,Evansville,winback
6a6a407e94347f000c2b8a34,Baptist Gastroenterology,baptist-gastroenterology,40223,Landis,winback
6a6a407ec98b510014a81af3,Eureka Ranch/Dexter-Brain Brew Distillery,eureka-ranch-dexter-brain-brew-distillery,45244,Oakley,winback
6a6a407fcfd0170010f4bf16,Carrier,carrier,46231,Avon,winback
6a6a408082cec70018c73731,Graves-Gilbert Clinic,graves-gilbert-clinic,42103,Bowling Green,winback
6a6a40815214390010448b19,"Harding, Shymanski & Company",harding-shymanski-and-company,40202,Mercantile,winback
6a6a4082a6c8060020e28d52,P&G,pandg,45202,Queen City Wild Eggs,winback
6a6a4083476c110020ddffde,Hirons,hirons,46202,Pulliam,winback
6a6a4086fb8bec001c921fb8,Ball State University | CAP Indy,ball-state-university-|-cap-indy,46202,Pulliam,winback
6a6a4087e64d5d000cd4e874,Elite Built Homes,elite-built-homes,40245,Landis,winback
6a6a40888969a400183c1cca,1st Urology,1st-urology,47150,New Albany,winback
6a6a40894874a900100a7cbd,University of Cincinnati Kresge Circle,university-of-cincinnati-kresge-circle,45267,Queen City Wild Eggs,winback
6a6a408a2d1f2c00209631c2,Brown Cancer Center - Terra Crossing Blvd,brown-cancer-center---terra-crossing-blvd,40245,Dupont,winback
6a6a408a3a8119000cb57fd0,Audubon hosptial,audubon-hosptial,40217,Mercantile,winback
6a6a408b88536f0020d8a1ab,"Hinkle Contracting - at the Hampton Inn Louisville East, Conference Room",hinkle-contracting---at-the-hampton-inn-louisville-east-conference-room,40299,Jtown,winback
6a6a408c1860eb00107891bf,Montgomery Community Church,montgomery-community-church,45249,Oakley,winback
6a6a408d521439001c453417,UOFL ENT,uofl-ent,40207,Dupont,winback
6a6a408e3059f2001cfab3d8,Dr. Seshadri Oncology,dr-seshadri-oncology,42101,Bowling Green,winback
6a6a408fb834fb0018e5ee3a,Med Center Psychiatry,med-center-psychiatry,42101,Bowling Green,winback
6a6a409000f4d3001c0eeaa0,Gastro Health West Side,gastro-health-west-side,45211,Queen City Wild Eggs,winback
