Order Number,Location,Street Address,City,State,Zip Code,Store Number,Store Name,Caterer Name,Event Date,Submitted At,Food Total,Promotion,Delivery Fee,Commission,Sales Tax,Sales Tax Remitted by ezCater,Tip,Payment Transaction Fee,Adjustments,Discounts,Misc Fees,Preferred Partner Program,Rewards,Caterer Total Due,Status,Order Paid By Caterer Payment Method,Source,Promotion Code,Driver,House Account ID,House Account Tax ID,Campaign Name
YW3-R07,"Takeout from Cincinnati, OH",1624 Herald Ave,Cincinnati,OH,45207,8,Oakley,Wild Eggs #8 (Oakley),01/01/2025 11:00 AM,12/30/2024 4:22 PM,$366.00 ,$0.00 ,$0.00 ,($54.90),$0.00 ,$0.00 ,$35.00 ,($10.94),$0.00 ,$0.00 ,0,-14.64,0,320.52,Completed,ach,Marketplace Takeout,,N/A,,,
3F7-Y04,University of Louisville School of Dentistry,501 S Preston St,Louisville,KY,40202,4,Mercantile,Wild Eggs #4 (Mercantile),01/02/2025 8:00 AM,12/09/2024 2:14 PM,$237.00 ,$0.00 ,$35.00 ,($40.80),$0.00 ,$0.00 ,$0.00 ,($8.13),$0.00 ,$0.00 ,0,0,0,223.07,Completed,ach,Marketplace Delivery,,Mikey  Thomas ,,,
7WT-PE8,Amdocs,625 Maryville Centre Dr 200,St. Louis,MO,63141,,Creve Coeur,CBW- Crazy Bowls and Wraps (Creve Coeur),01/02/2025 8:45 AM,11/27/2024 10:42 AM,$383.25 ,$0.00 ,$20.00 ,($60.49),$33.49 ,$0.00 ,$0.00 ,($13.06),$0.00 ,$0.00 ,-38.32,0,0,324.87,Completed,ach,Marketplace Takeout,,Dispatch,,,
KH3-U14,Contemporary Art Museum St. Louis,3750 Washington Blvd St. Louis,St. Louis,MO,63108,,Lindell/SLU,CBW- Crazy Bowls and Wraps (Lindell/SLU),01/03/2025 4:25 PM,12/17/2024 2:56 PM,$241.90 ,$0.00 ,$20.00 ,($18.33),$0.00 ,$0.00 ,$0.00 ,($7.83),$0.00 ,$0.00 ,-30,0,-12.1,193.64,Completed,ach,Marketplace Takeout,,Dispatch,,,
GAM-47X,Drury Inn & Suites,8700 Eager Rd,Brentwood,MO,63144,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/04/2025 11:10 AM,12/09/2024 3:15 PM,$636.90 ,$0.00 ,$20.00 ,($98.54),$0.00 ,$0.00 ,$0.00 ,($19.64),$0.00 ,$0.00 ,-63.69,0,-31.85,443.18,Completed,ach,Marketplace Takeout,,Dispatch,,,
KWY-3M6,,,Cincinnati,OH,45220,9,Queen City Wild Eggs,Wild Eggs #9 (Queen City Wild Eggs),01/04/2025 12:30 PM,01/01/2025 8:10 PM,$51.00 ,$0.00 ,$0.00 ,($7.65),$0.00 ,$0.00 ,$0.00 ,($1.52),$0.00 ,$0.00 ,0,0,0,41.83,Completed,ach,Marketplace Takeout,,N/A,,,
M3E-H5W,Indiana Mad Ants Basketball,125 S Pennsylvania St,Indianapolis,IN,46204,6,Pulliam,Wild Eggs #6 (Pulliam),01/07/2025 9:30 AM,12/04/2024 1:14 PM,$551.00 ,$0.00 ,$35.00 ,($87.90),$52.74 ,($41.02),$55.10 ,($19.10),$0.00 ,$0.00 ,0,0,0,545.82,Completed,ach,Marketplace Delivery,,Skylar Greene,,,
2YC-95M,Veterans United,111 Corporate Office Dr Suite 400,Earth City,MO,63045,,West Oak,CBW- Crazy Bowls and Wraps (West Oak),01/08/2025 10:48 AM,12/30/2024 12:38 PM,$137.20 ,$0.00 ,$20.00 ,($23.58),$12.33 ,$0.00 ,$0.00 ,($5.07),$0.00 ,$0.00 ,-30,0,-6.86,104.02,Completed,ach,Marketplace Takeout,,Dispatch,,,
7WQ-RE9,Medical Specialists of St. Lukes,222 S Woods Mill Rd 750 North,Chesterfield,MO,63017,,Creve Coeur,CBW- Crazy Bowls and Wraps (Creve Coeur),01/08/2025 10:51 AM,01/07/2025 10:02 AM,$378.65 ,$0.00 ,$20.00 ,($59.80),$33.09 ,$0.00 ,$0.00 ,($12.91),$0.00 ,$0.00 ,-37.86,0,0,321.17,Completed,ach,Marketplace Takeout,,Dispatch,,,
0Q5-7GP,Fueled Collective,3825 Edwards Rd Suite 103,Cincinnati,OH,45209,8,Oakley,Wild Eggs #8 (Oakley),01/09/2025 9:30 AM,01/07/2025 12:06 PM,$101.00 ,$0.00 ,$35.00 ,($20.40),$0.00 ,$0.00 ,$15.00 ,($4.07),$0.00 ,$0.00 ,0,-4.04,0,122.49,Completed,ach,Marketplace Delivery,,Spencer Gamble,,,
ZHG-0V6,Advantage Solutions,8001 Forsyth Blvd Suite 1025,Clayton,MO,63105,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/09/2025 10:55 AM,12/20/2024 11:11 AM,$266.10 ,$0.00 ,$20.00 ,($42.92),$27.24 ,$0.00 ,$0.00 ,($9.37),$0.00 ,$0.00 ,-30,0,-13.31,217.74,Completed,ach,Marketplace Takeout,,Dispatch,,,
1Y7-ZKJ,Wash U Chemistry,1 Brookings Dr Wrighton Hall 401,St. Louis,MO,63130,,Forsyth/Clayton,CBW- Crazy Bowls and Wraps (Forsyth/Clayton),01/09/2025 11:08 AM,01/07/2025 11:03 AM,$467.40 ,$0.00 ,$20.00 ,($34.12),$0.00 ,$0.00 ,$0.00 ,($14.57),$0.00 ,$0.00 ,-46.74,0,0,391.97,Completed,ach,ezOrdering Takeout,,Dispatch,,,
