location,stores,order_count,note
Traders Point Christian Church,Avon; Pulliam,34,"multi-store account: route outreach once, not per store"
,Bowling Green; Dupont; Evansville; Jeffersonville; Landis; Mercantile; New Albany; Oakley; Queen City Wild Eggs; Westport,29,"multi-store account: route outreach once, not per store"
Racing Louisville FC,Mercantile; Westport,19,"multi-store account: route outreach once, not per store"
Brown Cancer Center,Dupont; Landis; Mercantile; Westport,13,"multi-store account: route outreach once, not per store"
Raymond James,Carmel; Greenwood; Westport,7,"multi-store account: route outreach once, not per store"
Stoll Keenon Ogden,Evansville; Mercantile; Pulliam,6,"multi-store account: route outreach once, not per store"
UofL Field Hockey,Mercantile; New Albany,6,"multi-store account: route outreach once, not per store"
JWM Neurology,Carmel; Pulliam,5,"multi-store account: route outreach once, not per store"
Dermatology,Jtown; New Albany; Queen City Wild Eggs,4,"multi-store account: route outreach once, not per store"
First Urology,Mercantile; Westport,4,"multi-store account: route outreach once, not per store"
Dean Dorton,Fishers; Mercantile; Queen City Wild Eggs,4,"multi-store account: route outreach once, not per store"
Louisville Gas & Electric,Dupont; Mercantile,4,"multi-store account: route outreach once, not per store"
Home,Mercantile; Oakley; Queen City Wild Eggs; Westport,4,"multi-store account: route outreach once, not per store"
U of L Oncology,Dupont; Mercantile,3,"multi-store account: route outreach once, not per store"
EY,Mercantile; Pulliam; Queen City Wild Eggs,3,"multi-store account: route outreach once, not per store"
Morgan Stanley,Bowling Green; Carmel,3,"multi-store account: route outreach once, not per store"
Indianapolis Motor Speedway,Avon; Pulliam,3,"multi-store account: route outreach once, not per store"
Southeast Christian Church,Jeffersonville; Landis,3,"multi-store account: route outreach once, not per store"
Forefront Dermatology,Landis; Westport,3,"multi-store account: route outreach once, not per store"
Neurology,Dupont; Evansville,3,"multi-store account: route outreach once, not per store"
Baptist Health Neurology,Dupont; Westport,3,"multi-store account: route outreach once, not per store"
Knights Hall,Mercantile; Westport,3,"multi-store account: route outreach once, not per store"
Truepoint Wealth Counsel,Oakley; Queen City Wild Eggs,2,"multi-store account: route outreach once, not per store"
Baptist Health Medical Group,Jtown; Landis,2,"multi-store account: route outreach once, not per store"
Franciscan Oncology,Greenwood; Pulliam,2,"multi-store account: route outreach once, not per store"
Elevance Health,Oakley; Pulliam,2,"multi-store account: route outreach once, not per store"
UL Brown Cancer Center,Landis; Westport,2,"multi-store account: route outreach once, not per store"
"Takeout from Louisville, KY",Dupont; Mercantile,2,"multi-store account: route outreach once, not per store"
Northview Church,Carmel; Fishers,2,"multi-store account: route outreach once, not per store"
Cincinnati Children's Hospital Medical Center,Oakley; Queen City Wild Eggs,2,"multi-store account: route outreach once, not per store"
Franciscan Oncology & Hematology - Emerson,Greenwood; Pulliam,2,"multi-store account: route outreach once, not per store"
EGC Construction,Oakley; Queen City Wild Eggs,2,"multi-store account: route outreach once, not per store"
Endocrinology,Dupont; Westport,2,"multi-store account: route outreach once, not per store"
Gastro Health Partners - OneGI,Dupont; Westport,2,"multi-store account: route outreach once, not per store"
Franciscan Health Cancer Center,Greenwood; Pulliam,2,"multi-store account: route outreach once, not per store"
Baptist Endocrinology,Dupont; Westport,2,"multi-store account: route outreach once, not per store"
