ez_cater_store_name,reply_email
Avon,avon@wildeggs.com
Bowling Green,webg@wildeggs.com
Carmel,carmel@wildeggs.com
Dupont,dupont@wildeggs.com
Evansville,evansville@wildeggs.com
Fishers,fishers@wildeggs.com
Greenwood,greenwood@wildeggs.com
Jtown,jtown@wildeggs.com
Jeffersonville,jeffersonville@wildeggs.com
Landis,landis@wildeggs.com
Mercantile,mercantile@wildeggs.com
New Albany,newalbany@wildeggs.com
Oakley,oakley@wildeggs.com
Pulliam,pulliam@wildeggs.com
Queen City Wild Eggs,queencity@wildeggs.com
Westport,westportvillage@wildeggs.com
Hamburg,hamburg@wildeggs.com
Palomar,palomar@wildeggs.com
Tates Creek,tatescreek@wildeggs.com
